Date,Time,Open,High,Low,Close,Volume
2024.11.29,21:00,2652.54,2653.01,2648.54,2650.33,2642
2024.11.29,20:00,2660.53,2660.53,2651.64,2652.75,3776
2024.11.29,19:00,2662.13,2662.27,2657.49,2660.5,4568
2024.11.29,18:00,2658.92,2662.28,2657.92,2662.13,5033
2024.11.29,17:00,2653.59,2658.87,2650.68,2658.87,5443
2024.11.29,16:00,2658,2662.7,2651.86,2653.47,5561
2024.11.29,15:00,2660.26,2663.29,2656.22,2657.98,5522
2024.11.29,14:00,2659.59,2664.94,2659.02,2660.06,4034
2024.11.29,13:00,2662.75,2664.34,2659.45,2659.59,3597
2024.11.29,12:00,2664.17,2665.85,2661.31,2662.76,3890
2024.11.29,11:00,2657.18,2664.72,2655.95,2664.17,4023
2024.11.29,10:00,2660.55,2662.53,2654.56,2657.32,4090
2024.11.29,9:00,2665.31,2665.46,2658.98,2660.56,3854
2024.11.29,8:00,2662.3,2666.37,2661.72,2665.17,4519
2024.11.29,7:00,2659.85,2664.03,2659.38,2662.35,3950
2024.11.29,6:00,2660.13,2664.28,2658.36,2659.85,3091
2024.11.29,5:00,2657.42,2660.55,2654.8,2660.06,4025
2024.11.29,4:00,2644.94,2662.77,2644.82,2657.41,5148
2024.11.29,3:00,2636.06,2647.18,2634.03,2644.95,5388
2024.11.29,2:00,2638.79,2639.18,2635.68,2636.08,2746
2024.11.29,1:00,2637.58,2639.4,2637.24,2638.8,1360
2024.11.28,21:00,2639.8,2639.94,2636.96,2637.07,498
2024.11.28,20:00,2640.91,2641.34,2639.46,2639.8,597
2024.11.28,19:00,2642.09,2642.27,2639.59,2640.92,1635
2024.11.28,18:00,2638.15,2642.48,2637.5,2642.02,2796
2024.11.28,17:00,2641.15,2643.1,2636.24,2638.14,3856
2024.11.28,16:00,2647.08,2647.95,2640.83,2641.28,3932
2024.11.28,15:00,2645.98,2647.82,2642.74,2647.09,5012
2024.11.28,14:00,2646.92,2647.23,2643.91,2646.01,3043
2024.11.28,13:00,2647.55,2649.49,2644.92,2646.92,2913
2024.11.28,12:00,2646.14,2649.57,2644.84,2647.55,3128
2024.11.28,11:00,2644.03,2647.92,2642.74,2646.14,3287
2024.11.28,10:00,2637.2,2646.24,2635.69,2644,4018
2024.11.28,9:00,2636.81,2639.34,2634.57,2637.39,3207
2024.11.28,8:00,2633.42,2639.6,2631.86,2636.78,4110
2024.11.28,7:00,2631.28,2633.96,2630.13,2633.41,3444
2024.11.28,6:00,2630.29,2634.01,2629.34,2631.27,2377
2024.11.28,5:00,2628.18,2632.11,2625.71,2630.28,3221
2024.11.28,4:00,2628.82,2630.16,2625.59,2628.26,3966
2024.11.28,3:00,2635.69,2636.25,2620.92,2628.78,5801
2024.11.28,2:00,2637.12,2638.38,2635.09,2635.68,2174
2024.11.28,1:00,2637.8,2638.04,2636.27,2637.1,1075
2024.11.27,23:00,2636.93,2637.47,2634.76,2635.95,1070
2024.11.27,22:00,2634.67,2638.97,2634.25,2636.94,3456
2024.11.27,21:00,2638.98,2639.45,2633.89,2634.73,3300
2024.11.27,20:00,2637.26,2640.75,2636.56,2638.96,3689
2024.11.27,19:00,2639,2642.77,2635.37,2637.3,4586
2024.11.27,18:00,2642.47,2644.24,2638.15,2638.97,5235
2024.11.27,17:00,2651.05,2651.5,2635.52,2642.59,6005
2024.11.27,16:00,2656.19,2656.78,2649.12,2651.24,5387
2024.11.27,15:00,2651.25,2658.2,2645.81,2656.26,5703
2024.11.27,14:00,2651.12,2655.01,2649.54,2651.19,4038
2024.11.27,13:00,2648.69,2652.34,2643.46,2651.11,3790
2024.11.27,12:00,2648.32,2649.91,2647.73,2648.58,3599
2024.11.27,11:00,2653.61,2653.79,2647.82,2648.31,4011
2024.11.27,10:00,2646.24,2653.67,2645.22,2653.55,4849
2024.11.27,9:00,2647.71,2648.41,2645.9,2646.6,3627
2024.11.27,8:00,2642.11,2647.95,2638.97,2647.68,4498
2024.11.27,7:00,2638.97,2645.75,2638.15,2642.02,3619
2024.11.27,6:00,2637.68,2640.57,2636.59,2638.98,2421
2024.11.27,5:00,2637.59,2639.39,2635.89,2637.72,3407
2024.11.27,4:00,2631.38,2640.47,2631.16,2637.58,4693
2024.11.27,3:00,2627.81,2632.71,2627,2631.46,4839
2024.11.27,2:00,2632.29,2633.09,2627.26,2627.74,2162
2024.11.27,1:00,2630.47,2634.15,2630.16,2632.29,1399
2024.11.26,23:00,2631.73,2633.53,2630.73,2633.02,1421
2024.11.26,22:00,2628.06,2632.85,2627.49,2631.7,3509
2024.11.26,21:00,2623.16,2628.89,2622.41,2628.06,3879
2024.11.26,20:00,2624.99,2624.99,2619.56,2622.61,4305
2024.11.26,19:00,2628.6,2628.61,2624.97,2625.02,4438
2024.11.26,18:00,2629.56,2631.4,2626.4,2628.71,4759
2024.11.26,17:00,2622.02,2632.76,2620.25,2629.4,5715
2024.11.26,16:00,2629.84,2633.78,2616.84,2622.05,5851
2024.11.26,15:00,2630.96,2641.9,2624.03,2629.96,6018
2024.11.26,14:00,2633.24,2634.74,2629.29,2630.95,4663
2024.11.26,13:00,2631.38,2633.21,2627.66,2633.12,3934
2024.11.26,12:00,2626.04,2633.13,2625.1,2631.37,4369
2024.11.26,11:00,2613.39,2627.06,2612.88,2625.98,4752
2024.11.26,10:00,2614.03,2618.24,2612.51,2613.47,4764
2024.11.26,9:00,2621.96,2622.86,2610.89,2614.13,4341
2024.11.26,8:00,2624.4,2625.95,2621.1,2622.06,4585
2024.11.26,7:00,2626.37,2626.43,2617.83,2624.34,4157
2024.11.26,6:00,2630.36,2631.42,2625.05,2626.33,2986
2024.11.26,5:00,2625.33,2631.05,2622.96,2630.34,3906
