datetime,Open,High,Low,Close,Volume,EMA25,EMA50,EMA100,MACD,MACD_Signal,MACD_Hist,K,D,J,BB_Mid,BB_Upper,BB_Lower,ATR,Ichimoku_Conversion,Ichimoku_Base,Ichimoku_Leading_A,Ichimoku_Leading_B,SAR
2024-01-04 14:00:00,1.0948,1.0956,1.09466,1.09523,8958,1.0938159,1.0949203,1.097442,0.00040570652,-9.789161e-05,0.00050359813,69.463264,76.63711,55.115593,1.093019,1.0963931,1.0896449,0.0011485714,1.09464,1.09324,1.09394,1.096525,1.0907035
2024-01-04 15:00:00,1.09523,1.09554,1.09326,1.09471,20536,1.0938847,1.094912,1.0973879,0.00041345772,4.378262e-06,0.00040907945,63.42596,72.23339,45.811108,1.093221,1.0964849,1.0899571,0.001265,1.09464,1.09324,1.09394,1.09548,1.0909787
2024-01-04 16:00:00,1.09471,1.09508,1.09382,1.09454,18528,1.0939351,1.0948974,1.0973315,0.0004012576,8.375413e-05,0.00031750347,58.30714,67.59131,39.738808,1.093419,1.0964826,1.0903554,0.0013028572,1.09464,1.09324,1.09394,1.09501,1.0912486
2024-01-04 17:00:00,1.09453,1.09654,1.0945,1.09552,19518,1.0940571,1.0949218,1.0972956,0.00046530296,0.0001600639,0.00030523908,58.91805,64.70022,47.353703,1.093606,1.0967047,1.0905073,0.0013914285,1.095085,1.09324,1.0941625,1.09324,1.091513
2024-01-04 18:00:00,1.09552,1.0964,1.0954,1.09561,11721,1.0941765,1.0949488,1.0972623,0.0005173579,0.00023152269,0.00028583518,59.010017,62.803486,51.423077,1.0937835,1.0969158,1.0906512,0.0014307143,1.095245,1.09324,1.0942425,1.09324,1.0917722
2024-01-04 19:00:00,1.09561,1.09599,1.09416,1.09505,11035,1.0942436,1.0949528,1.0972185,0.0005075734,0.00028673283,0.0002208406,54.369396,59.992123,43.123947,1.09393,1.0970083,1.0908515,0.0014778571,1.095245,1.09324,1.0942425,1.09324,1.0920261
2024-01-04 20:00:00,1.09505,1.09545,1.09459,1.09469,8313,1.094278,1.0949425,1.0971684,0.00046540532,0.00032246733,0.00014293798,48.252983,56.079075,32.600796,1.094059,1.0970306,1.0910873,0.0015092858,1.095245,1.09324,1.0942425,1.09324,1.092275
2024-01-04 21:00:00,1.09469,1.095,1.09432,1.09469,6531,1.0943097,1.0949326,1.0971193,0.00042706385,0.00034338664,8.367721e-05,46.701176,52.95311,34.197308,1.0941645,1.097064,1.091265,0.00152,1.0949,1.09324,1.09407,1.09324,1.0925189
2024-01-04 22:00:00,1.09468,1.09494,1.09428,1.09492,6061,1.0943567,1.0949321,1.0970758,0.000410505,0.0003568103,5.3694683e-05,48.004036,51.303417,41.40527,1.0942985,1.0970683,1.0915287,0.001465,1.0949,1.09324,1.09407,1.09324,1.0927579
2024-01-04 23:00:00,1.09485,1.09495,1.09429,1.09435,2689,1.0943562,1.0949093,1.0970218,0.00034738332,0.0003549249,-7.541591e-06,43.079926,48.562256,32.11527,1.0944275,1.0969288,1.0919262,0.00141,1.0949,1.093895,1.0943975,1.09324,1.0929922
